유이, 굿네이버스 주거지원 캠페인 재능기부 참여	한스경제
'나 혼자 산다' 유이, "외모지적에 울었다"	더팩트
'전참시' 유이 매니저 "유이, 친형보다 더 형 같아"	TV리포트
유이 '증강 콩깍지' 주역	서울경제
유이, 화보장인의 독보적인 아우라..가을 분위기 입다[화보]	OSEN
'나 혼자 산다' 유이, "내가 문제가 있나…" 연예인으로서 고충 고백	텐아시아
유이, 미리 만나 본 어텀 바이브 가을 화보 속 '유이 가방'은?	뉴스렙
'전참시' 유이 매니저, 고속도로 위 장트러블! '일촉즉발 위기'	베리타스알파
유이, 미리 만나 본 어텀 바이브 가을 화보 속 '유이 가방'은?	뉴스렙
'전참시' 유이 매니저, 고속도로 위 장트러블! '일촉즉발 위기'	베리타스알파
유이, 운동으로 완성한 탄탄 보디라인 '시선강탈'	텐아시아
"관심이 시작"..유이, 주거 취약 계층 아동 위해 재능기부..꾸준한 선행	OSEN
유이, 치명적 실루엣+美친 비율…파격 세미누드 화보 공개	한국경제
유이, '나 혼자 산다'서 일상 및 집 최초 공개	경기일보
[종합]"너무 남자다워" '전참시' 유이, 역대급 털털 매력→제이쓴, ♥홍현희 ...	헤럴드POP
[오마이포토] 'SF8' 유이, SF적인 아우라	오마이뉴스
'나혼자산다' 유이, 데뷔 12년차의 숨겨온 솔직한 속내 고백	스포츠서울
'나 혼자 산다' 유이·이시언, 자취러 취향 저격한 '나홀로 소확행'	이데일리
'나 혼자 산다' 유이·이시언, 자취러 취향 저격한 '나홀로 소확행'	이데일리
'나 혼자 산다' 유이 "진짜 내 모습 보여드리고 싶었다"	이데일리
유이, 꿀벅지에 세미누드까지···철저하게 준비한 역대급 섹시美 대폭발	서울경제
‘전참시’ 유이, 이렇게 털털해도 되나..소탈 그 자체	한스경제
'다만악 파이널컷' 황정민X이정재X박정민, 더 강렬해진 액션 시퀀스	스타뉴스
유이X남이안 '개훌륭' 출연, 스타견 망고X꼬마♥꼬솜 매력 발산	스포츠조선
'나 혼자 산다' 유이, 3년차 자취러의 리얼한 일상 공개	스포츠서울
‘나 혼자 산다’ 유이, 날선 시선에 “내가 문제가 있나” 속내 고백	MK스포츠
'증강 콩깍지' 유이 "캐릭터 위해 긍정적으로 지내니 정말 행복해져"	MBC연예
‘전참시’ 유이, 형같은 털털함+자상한 배려심 ‘매력 발산’	스포츠경향
‘전참시’ 유이, 형같은 털털함+자상한 배려심 ‘매력 발산’	스포츠경향
“ 지루한 집콕은 안녕, 유이와 이제 홈트하세요 ”	무비스트
유이, 매거진 싱글즈 통해 세미누드 화보 공개	스포츠월드
"평소는 동네 형"…'전참시' 유이, 물티슈 클렌징→폭풍눈물 '넘사벽 털털美'	enews24
‘나 혼자 산다’ 유이-이시언, 혼자여도 괜찮아… 자취러 취향 저격 소확행	스포츠동아
'나 혼자 산다' 유이, 눕방 라이프→맵부심 폭발 "3년 차 자취러의 리얼 일상...	일간스포츠
유이 재능기부, 주거 취약계층 아동 현실 알린다	매일경제
[화보IS] 여름날의 유이, 뷰티 필름 공개..파격적 영상미	일간스포츠
유이 '과감 의상+파격 포즈'로 공개한 '완벽 보디라인[화보]	스포츠조선
유이, 몽환적 살구빛 메이크업(화보)	뉴스컬처
넘사벽 털털美..'전참시' 유이, 물티슈 클렌징→매니저 장트러블 폭풍눈물	OSEN
유이 '과감 의상+파격 포즈'로 공개한 '완벽 보디라인[화보]	스포츠조선
유이, 몽환적 살구빛 메이크업(화보)	뉴스컬처
'나 혼자 산다' 유이, 솔직한 일상→감춰둔 속마음 고백	텐아시아
‘전참시’ 유이, 민낯부터 1분 메이크업까지 “친형보다 형 같아”[오늘TV]	뉴스엔
[DAY컷] 유이, 꾸준한 자기관리의 결과…아름다운 건강美	스포츠동아
[원조 꿀벅지, 유이] 완벽한 바디라인의 클린 섹슈얼 세미 누드 화보 공개!	뉴스타운
'나혼산' 유이X이시언,'자취러' 취향저격...金 밤 최고 예능	스포츠서울
유이, 티셔츠+레깅스 조합이 이렇게 잘 어울리다니…‘건강미’ 넘치는 근황	세계일보
[포토]유이, 블랙 드레스	이데일리
[원조 꿀벅지, 유이] 완벽한 바디라인의 클린 섹슈얼 세미 누드 화보 공개!	뉴스타운
'나혼산' 유이X이시언,'자취러' 취향저격...金 밤 최고 예능	스포츠서울
유이, 티셔츠+레깅스 조합이 이렇게 잘 어울리다니…‘건강미’ 넘치는 근황	세계일보
[포토]유이, 블랙 드레스	이데일리
[포토]유이, 해맑은 미소	이데일리
[N화보] 유이 '과감 의상+파격 포즈'…완벽 보디라인 공개	뉴스1
유이 “요가를 통해 나를 다독이고 위로하는 방법 배웠다”	스포츠동아
유이, BIFAN 관객과의 대화.."나 자신이 예뻐보여"	스타뉴스
유이, 아름다운 보디라인+건강미...세미누드 화보 공개	YTN
유이, 맵부심 뽐냈던 매운소스 광고모델 선정 "저 성덕이에요"	매일경제
유이, 세미 누드 콘셉트 완벽 소화(화보)	뉴스컬처
`나 혼자 산다` 유이, 데뷔 12년차 연예인의 고충 "내가 문제가 있나"	매일경제
